,country,type,lat,lon,cap,commissioned
0,Belgium,Gas_CCGT,50.41396,4.40645,413.0,
4,Belgium,Gas_CCGT,50.430040000000005,4.39518,451.0,
5,Belgium,Bioenergy,50.58508,5.41886,95.0,
12,Belgium,Nuclear,51.32481,4.25889,445.0,
13,Belgium,Nuclear,51.32481,4.25889,433.0,
14,Belgium,Nuclear,51.32481,4.25889,1006.0,
15,Belgium,Nuclear,51.32481,4.25889,1039.0,
21,Belgium,Gas_CCGT,51.26307,3.21121,465.0,
33,Belgium,Bioenergy,51.13421,3.77598,268.0,
34,Belgium,Gas_CCGT,50.47167,3.82521,350.0,
39,Belgium,Nuclear,50.53464,5.27121,481.0,
40,Belgium,Nuclear,50.53464,5.27121,481.0,
41,Belgium,Nuclear,50.53464,5.27121,1008.0,
42,Belgium,Nuclear,50.53464,5.27121,1038.0,
49,Belgium,Gas_CCGT,51.36977,4.26667,386.2,
53,Belgium,OilOther,51.15861,3.80746,315.0,
54,Belgium,OilOther,51.15879,3.80815,18.0,
64,Belgium,Gas_OCGT,50.61775,5.582669999999999,64.0,
65,Belgium,Gas_OCGT,50.61775,5.582669999999999,64.0,
74,Belgium,Gas_OCGT,51.05942,3.73646,58.0,
75,Belgium,Gas_OCGT,51.05942,3.73646,58.0,
83,Belgium,Gas_OCGT,50.44746,4.66339,48.0,
84,Belgium,Gas_OCGT,50.44746,4.66339,48.0,
85,Belgium,Gas_ST,50.44746,4.66339,10.0,
86,Belgium,Gas_CCGT,51.10496,3.72567,385.0,
89,Belgium,Gas_CCGT,51.24256,4.32481,138.0,
93,Netherlands,Coal,51.70838,4.84381,645.0,
94,Netherlands,Coal,51.70838,4.84381,640.0,
97,Netherlands,Nuclear,51.43148,3.71871,492.0,
98,Netherlands,Coal,51.75381,5.8528,25.0,
104,Netherlands,Coal,51.85607,5.830430000000001,0.0,
107,Netherlands,Coal,52.40537,4.84482,650.0,
111,Netherlands,Coal,51.96262,4.02152,0.0,
112,Netherlands,Coal,51.96262,4.02152,0.0,
113,Netherlands,Coal,51.96262,4.02152,1068.0,
144,Netherlands,Coal,51.94496,4.06767,731.0,
162,Netherlands,Coal,51.22402,5.97085,249.0,
